# Kbytes    Time(ns)
16   2.89348   # (N=1024, reps=610351)
32   2.97354   # (N=2048, reps=215791)
64   4.27007   # (N=4096, reps=76293)
128   4.83547   # (N=8192, reps=26973)
256   6.17766   # (N=16384, reps=9536)
512   10.8619   # (N=32768, reps=3371)
1024   13.5529   # (N=65536, reps=1192)
2048   15.52   # (N=131072, reps=421)
4096   18.4167   # (N=262144, reps=149)
8192   43.8758   # (N=524288, reps=52)
16384   73.3356   # (N=1048576, reps=18)
32768   82.3118   # (N=2097152, reps=6)
65536   90.0028   # (N=4194304, reps=2)
131072   95.1119   # (N=8388608, reps=1)
262144   98.2705   # (N=16777216, reps=1)
524288   101.217   # (N=33554432, reps=1)
1048576   103.283   # (N=67108864, reps=1)
